size,bedroom,price,predicted price
2104.0,3.0,399900.0,350804.319
1600.0,3.0,329900.0,266771.559
2400.0,3.0,369000.0,400156.892
1416.0,2.0,232000.0,236092.664
3000.0,4.0,539900.0,500196.16
1985.0,4.0,299900.0,330963.519
1534.0,3.0,314900.0,255767.269
1427.0,3.0,198999.0,237926.981
1380.0,3.0,212000.0,230090.592
1494.0,3.0,242500.0,249098.002
1940.0,4.0,239999.0,323460.594
2000.0,3.0,347000.0,333464.226
1890.0,3.0,329999.0,315123.742
4478.0,5.0,699900.0,746625.831
1268.0,3.0,259900.0,211416.646
2300.0,4.0,449900.0,383483.993
1320.0,2.0,299900.0,220086.425
1236.0,3.0,199900.0,206081.233
2609.0,4.0,499998.0,435004.078
3031.0,4.0,599000.0,505364.842
1767.0,3.0,252900.0,294615.747
1888.0,2.0,255000.0,314790.011
1604.0,3.0,242900.0,267438.486
1962.0,4.0,259900.0,327128.69
3890.0,3.0,573900.0,648587.075
1100.0,3.0,249900.0,183405.726
1458.0,3.0,464500.0,243095.662
2526.0,3.0,469000.0,421165.082
2200.0,3.0,475000.0,366810.559
2637.0,3.0,299900.0,439672.297
1839.0,2.0,349900.0,306620.159
1000.0,1.0,169900.0,166732.023
2040.0,4.0,314900.0,340133.76
3137.0,3.0,579900.0,523038.13
1811.0,4.0,285900.0,301952.209
1437.0,3.0,249900.0,239594.297
1239.0,3.0,229900.0,206581.427
2132.0,4.0,345000.0,355473.073
4215.0,4.0,549000.0,702775.134
2162.0,4.0,287000.0,360475.023
1664.0,2.0,368500.0,277442.118
2238.0,3.0,329900.0,373146.362
2567.0,4.0,314000.0,428001.348
1200.0,3.0,299000.0,200078.893
852.0,2.0,179900.0,142056.005
1852.0,4.0,299900.0,308788.207
1203.0,3.0,239500.0,200579.088
